// Disassembly at 0x4400 - 0x65af. (incomplete, see notes for complete disassembly)

rCode = 0x4400
rParam = 0x97f0

-ADDR-	DEC-INSTRC	HEX-INSTRC	DISASSEMBLY
0x47ac	       296	     0x128	.
0x47b0	 303169808	0x12120110	.
0x47b4	  17859091	 0x1108213	.
0x47b8	 268698138	0x1004021a	.
0x47bc	  16810515	 0x1008213	.
0x47c0	  67109389	 0x400020d	.
0x47c4	 269484560	0x10100210	.
0x47c8	 135294985	 0x8107009	.
0x47cc	 269746185	0x10140009	.
0x47d0	  68190228	 0x4108014	.
0x47d4	 252739601	 0xf108011	.
0x47d8	 806387725	0x3010800d	.
0x47dc	 957382666	0x3910800a	.
0x47e0	   2130443	  0x20820b	.
0x47e4	      1004	     0x3ec	.
0x47e8	 655392781	0x2710800d	.
0x47ec	 268449801	0x10003809	.
0x47f0	     33293	    0x820d	.
0x47f4	         2	       0x2	.
0x47f8	 253001745	 0xf148011	.
0x47fc	 806649869	0x3014800d	.
0x4800	 957644810	0x3914800a	.
0x4804	   2130443	  0x20820b	.
0x4808	      1040	     0x410	.
0x480c	 655654925	0x2714800d	.
0x4810	 335558665	0x14003809	.
0x4814	     33293	    0x820d	.
0x4818	         4	       0x4	.
0x481c	    557581	   0x8820d	.
0x4820	         1	       0x1	.
0x4824	    819726	   0xc820e	.
0x4828	         1	       0x1	.
0x482c	    819722	   0xc820a	.
0x4830	         0	       0x0	.
0x4834	   2392587	  0x24820b	.
0x4838	       964	     0x3c4	.
0x483c	        32	      0x20	.
0x4840	     33289	    0x8209	.
0x4844	        20	      0x14	.
0x4848	    528905	   0x81209	.
0x484c	  67141646	 0x400800e	.
0x4850	    266761	   0x41209	.
0x4854	  67141646	 0x400800e	.
0x4858	      4617	    0x1209	.
0x485c	     33311	    0x821f	.
0x4860	       512	     0x200	.
0x4864	        32	      0x20	.
0x4868	     33311	    0x821f	.
0x486c	       720	     0x2d0	.
0x4870	     33290	    0x820a	.
0x4874	         0	       0x0	.
0x4878	   1344011	  0x14820b	.
0x487c	      1160	     0x488	.
0x4880	     33289	    0x8209	.
0x4884	         0	       0x0	.
0x4888	    295434	   0x4820a	.
0x488c	         0	       0x0	.
0x4890	   1344011	  0x14820b	.
0x4894	      1184	     0x4a0	.
0x4898	    295433	   0x48209	.
0x489c	         0	       0x0	.
0x48a0	     33307	    0x821b	.
0x48a4	        18	      0x12	.
0x48a8	  84181524	 0x5048214	.
0x48ac	     33290	    0x820a	.
0x48b0	        79	      0x4f	.
0x48b4	    819723	   0xc820b	.
0x48b8	      1220	     0x4c4	.
0x48bc	     33289	    0x8209	.
0x48c0	        79	      0x4f	.
0x48c4	    295434	   0x4820a	.
0x48c8	        24	      0x18	.
0x48cc	    819723	   0xc820b	.
0x48d0	      1244	     0x4dc	.
0x48d4	    295433	   0x48209	.
0x48d8	        24	      0x18	.
0x48dc	     33311	    0x821f	.
0x48e0	       544	     0x220	.
0x48e4	   1081865	  0x108209	.
0x48e8	        20	      0x14	.
0x48ec	 135272969	 0x8101a09	.
0x48f0	  68190222	 0x410800e	.
0x48f4	  68164105	 0x4101a09	.
0x48f8	  68190222	 0x410800e	.
0x48fc	   1055241	  0x101a09	.
0x4900	    557329	   0x88111	.
0x4904	       255	      0xff	.
0x4908	1946779657	0x74098009	.
0x490c	     33311	    0x821f	.
0x4910	       512	     0x200	.
0x4914	        32	      0x20	.
0x4918	     33289	    0x8209	.
0x491c	         8	       0x8	.
0x4920	    266761	   0x41209	.
0x4924	  67141646	 0x400800e	.
0x4928	      4617	    0x1209	.
0x492c	    557577	   0x88209	.
0x4930	        12	       0xc	.
0x4934	    786953	   0xc0209	.
0x4938	    819729	   0xc8211	.
0x493c	        15	       0xf	.
0x4940	    819738	   0xc821a	.
0x4944	         3	       0x3	.
0x4948	 201851405	 0xc08020d	.
0x494c	    786953	   0xc0209	.
0x4950	  67928597	 0x40c8215	.
0x4954	     65545	   0x10009	.
0x4958	  16875537	 0x1018011	.
0x495c	  16908297	 0x1020009	.
0x4960	  16941072	 0x1028010	.
0x4964	 436305946	0x1a01801a	.
0x4968	 436371482	0x1a02801a	.
0x496c	 536969229	0x2001800d	.
0x4970	 537034765	0x2002800d	.
0x4974	 537952265	0x20108009	.
0x4978	   1114121	  0x110009	.
0x497c	  68255761	 0x4118011	.
0x4980	  68255760	 0x4118010	.
0x4984	  34701333	 0x2118015	.
0x4988	 134447113	 0x8038009	.
0x498c	 285409294	0x1103000e	.
0x4990	  51445769	 0x3110009	.
0x4994	    164383	   0x2821f	.
0x4998	       608	     0x260	.
0x499c	    557581	   0x8820d	.
0x49a0	         1	       0x1	.
0x49a4	    164383	   0x2821f	.
0x49a8	       608	     0x260	.
0x49ac	    557582	   0x8820e	.
0x49b0	         2	       0x2	.
0x49b4	   1081609	  0x108109	.
0x49b8	      1056	     0x420	.
0x49bc	  17825801	 0x1100009	.
0x49c0	    164383	   0x2821f	.
0x49c4	       512	     0x200	.
0x49c8	  34603017	 0x2100009	.
0x49cc	    557581	   0x8820d	.
0x49d0	         3	       0x3	.
0x49d4	    164383	   0x2821f	.
0x49d8	       512	     0x200	.
0x49dc	    524809	   0x80209	.
0x49e0	    557585	   0x88211	.
0x49e4	        15	       0xf	.
0x49e8	    557581	   0x8820d	.
0x49ec	        62	      0x3e	.
0x49f0	  51445769	 0x3110009	.
0x49f4	    164383	   0x2821f	.
0x49f8	       608	     0x260	.
0x49fc	        32	      0x20	.
0x4a00	     33289	    0x8209	.
0x4a04	         8	       0x8	.
0x4a08	    266761	   0x41209	.
0x4a0c	  67141646	 0x400800e	.
0x4a10	      4617	    0x1209	.
0x4a14	    557577	   0x88209	.
0x4a18	        12	       0xc	.
0x4a1c	    786953	   0xc0209	.
0x4a20	    819729	   0xc8211	.
0x4a24	        15	       0xf	.
0x4a28	    819738	   0xc821a	.
0x4a2c	         3	       0x3	.
0x4a30	 201851405	 0xc08020d	.
0x4a34	    786953	   0xc0209	.
0x4a38	  67928597	 0x40c8215	.
0x4a3c	   1081609	  0x108109	.
0x4a40	     20445	    0x4fdd	.
0x4a44	4278485002	0xff04800a	.
0x4a48	   1606155	  0x18820b	.
0x4a4c	      1620	     0x654	.
0x4a50	1192329225	0x47118009	.
0x4a54	    164383	   0x2821f	.
0x4a58	       608	     0x260	.
0x4a5c	    557581	   0x8820d	.
0x4a60	         1	       0x1	.
0x4a64	    164383	   0x2821f	.
0x4a68	       608	     0x260	.
0x4a6c	    557582	   0x8820e	.
0x4a70	         2	       0x2	.
0x4a74	1074888713	0x40118009	.
0x4a78	    164383	   0x2821f	.
0x4a7c	       512	     0x200	.
0x4a80	3725623305	0xde108009	.
0x4a84	    557581	   0x8820d	.
0x4a88	         3	       0x3	.
0x4a8c	    164383	   0x2821f	.
0x4a90	       512	     0x200	.
0x4a94	4026826762	0xf004800a	.
0x4a98	   2392587	  0x24820b	.
0x4a9c	      1740	     0x6cc	.
0x4aa0	    295435	   0x4820b	.
0x4aa4	      1712	     0x6b0	.
0x4aa8	    557581	   0x8820d	.
0x4aac	         1	       0x1	.
0x4ab0	    557582	   0x8820e	.
0x4ab4	         2	       0x2	.
0x4ab8	 201982217	 0xc0a0109	.
0x4abc	    164383	   0x2821f	.
0x4ac0	       412	     0x19c	.
0x4ac4	    786953	   0xc0209	.
0x4ac8	  67928597	 0x40c8215	.
0x4acc	    524809	   0x80209	.
0x4ad0	    557585	   0x88211	.
0x4ad4	        15	       0xf	.
0x4ad8	    557581	   0x8820d	.
0x4adc	        62	      0x3e	.
0x4ae0	1192329225	0x47118009	.
0x4ae4	4278485002	0xff04800a	.
0x4ae8	   1606155	  0x18820b	.
0x4aec	      1780	     0x6f4	.
0x4af0	1326546953	0x4f118009	.
0x4af4	    164383	   0x2821f	.
0x4af8	       608	     0x260	.
0x4afc	4278485002	0xff04800a	.
0x4b00	   1606155	  0x18820b	.
0x4b04	      1812	     0x714	.
0x4b08	 201982217	 0xc0a0109	.
0x4b0c	    164383	   0x2821f	.
0x4b10	       412	     0x19c	.
0x4b14	        32	      0x20	.
0x4b18	 134742544	 0x8080210	.
0x4b1c	    262665	   0x40209	.
0x4b20	    295441	   0x48211	.
0x4b24	         1	       0x1	.
0x4b28	    295434	   0x4820a	.
0x4b2c	         0	       0x0	.
0x4b30	    295435	   0x4820b	.
0x4b34	      1848	     0x738	.
0x4b38	    262665	   0x40209	.
0x4b3c	    295441	   0x48211	.
0x4b40	         2	       0x2	.
0x4b44	    295434	   0x4820a	.
0x4b48	         0	       0x0	.
0x4b4c	    295435	   0x4820b	.
0x4b50	      1888	     0x760	.
0x4b54	    229919	   0x3821f	.
0x4b58	      3276	     0xccc	.
0x4b5c	  17334281	 0x1088009	.
0x4b60	    262665	   0x40209	.
0x4b64	    295441	   0x48211	.
0x4b68	         4	       0x4	.
0x4b6c	    295434	   0x4820a	.
0x4b70	         0	       0x0	.
0x4b74	    295435	   0x4820b	.
0x4b78	      1916	     0x77c	.
0x4b7c	    262665	   0x40209	.
0x4b80	    295441	   0x48211	.
0x4b84	         8	       0x8	.
0x4b88	    295434	   0x4820a	.
0x4b8c	         0	       0x0	.
0x4b90	    295435	   0x4820b	.
0x4b94	      1956	     0x7a4	.
0x4b98	    229919	   0x3821f	.
0x4b9c	      3120	     0xc30	.
0x4ba0	  17334281	 0x1088009	.
0x4ba4	    262665	   0x40209	.
0x4ba8	    295441	   0x48211	.
0x4bac	        16	      0x10	.
0x4bb0	    295434	   0x4820a	.
0x4bb4	         0	       0x0	.
0x4bb8	    295435	   0x4820b	.
0x4bbc	      1996	     0x7cc	.
0x4bc0	    229919	   0x3821f	.
0x4bc4	      2072	     0x818	.
0x4bc8	  17334281	 0x1088009	.
0x4bcc	    262665	   0x40209	.
0x4bd0	    295441	   0x48211	.
0x4bd4	        32	      0x20	.
0x4bd8	    295434	   0x4820a	.
0x4bdc	         0	       0x0	.
0x4be0	    295435	   0x4820b	.
0x4be4	      2024	     0x7e8	.
0x4be8	    262665	   0x40209	.
0x4bec	    295441	   0x48211	.
0x4bf0	        64	      0x40	.
0x4bf4	    295434	   0x4820a	.
0x4bf8	         0	       0x0	.
0x4bfc	    295435	   0x4820b	.
0x4c00	      2064	     0x810	.
0x4c04	    229919	   0x3821f	.
0x4c08	      2840	     0xb18	.
0x4c0c	  17334281	 0x1088009	.
0x4c10	 134218249	 0x8000209	.
0x4c14	        32	      0x20	.
0x4c18	     33311	    0x821f	.
0x4c1c	       776	     0x308	.
0x4c20	 151027722	 0x900800a	.
0x4c24	   1606155	  0x18820b	.
0x4c28	      2144	     0x860	.
0x4c2c	    819721	   0xc8209	.
0x4c30	         8	       0x8	.
0x4c34	 202379785	 0xc101209	.
0x4c38	4279271434	0xff10800a	.
0x4c3c	    295435	   0x4820b	.
0x4c40	      2136	     0x858	.
0x4c44	   1081865	  0x108209	.
0x4c48	       255	      0xff	.
0x4c4c	 269228553	0x100c1a09	.
0x4c50	     33291	    0x820b	.
0x4c54	      2144	     0x860	.
0x4c58	4027613193	0xf0108009	.
0x4c5c	 269228553	0x100c1a09	.
0x4c60	 637566986	0x2600800a	.
0x4c64	   1606155	  0x18820b	.
0x4c68	      2240	     0x8c0	.
0x4c6c	    360991	   0x5821f	.
0x4c70	      1304	     0x518	.
0x4c74	    819721	   0xc8209	.
0x4c78	         4	       0x4	.
0x4c7c	 202379785	 0xc101209	.
0x4c80	   1081866	  0x10820a	.
0x4c84	        16	      0x10	.
0x4c88	   2654731	  0x28820b	.
0x4c8c	      2228	     0x8b4	.
0x4c90	   1081869	  0x10820d	.
0x4c94	        16	      0x10	.
0x4c98	 336855568	0x14140210	.
0x4c9c	   1350154	  0x149a0a	.
0x4ca0	        16	      0x10	.
0x4ca4	   1868299	  0x1c820b	.
0x4ca8	      2228	     0x8b4	.
0x4cac	   1350158	  0x149a0e	.
0x4cb0	        16	      0x10	.
0x4cb4	   1081870	  0x10820e	.
0x4cb8	        16	      0x10	.
0x4cbc	 269228553	0x100c1a09	.
0x4cc0	 671121418	0x2800800a	.
0x4cc4	   1606155	  0x18820b	.
0x4cc8	      2336	     0x920	.
0x4ccc	    360991	   0x5821f	.
0x4cd0	      1304	     0x518	.
0x4cd4	    819721	   0xc8209	.
0x4cd8	         4	       0x4	.
0x4cdc	 202379785	 0xc101209	.
0x4ce0	   1081866	  0x10820a	.
0x4ce4	       384	     0x180	.
0x4ce8	   1868299	  0x1c820b	.
0x4cec	      2324	     0x914	.
0x4cf0	   1081870	  0x10820e	.
0x4cf4	        16	      0x10	.
0x4cf8	 336855568	0x14140210	.
0x4cfc	   1350154	  0x149a0a	.
0x4d00	4294966896	0xfffffe70	.
0x4d04	   2654731	  0x28820b	.
0x4d08	      2324	     0x914	.
0x4d0c	   1350157	  0x149a0d	.
0x4d10	        16	      0x10	.
0x4d14	   1081869	  0x10820d	.
0x4d18	        16	      0x10	.
0x4d1c	 269228553	0x100c1a09	.
0x4d20	 134250506	 0x800800a	.
0x4d24	    295435	   0x4820b	.
0x4d28	      2360	     0x938	.
0x4d2c	 620789770	0x2500800a	.
0x4d30	   1606155	  0x18820b	.
0x4d34	      2488	     0x9b8	.
0x4d38	    360991	   0x5821f	.
0x4d3c	      1304	     0x518	.
0x4d40	    819721	   0xc8209	.
0x4d44	         8	       0x8	.
0x4d48	    825866	   0xc9a0a	.
0x4d4c	       240	      0xf0	.
0x4d50	   2392587	  0x24820b	.
0x4d54	      2404	     0x964	.
0x4d58	4279015440	0xff0c9810	.
0x4d5c	   1606155	  0x18820b	.
0x4d60	      2488	     0x9b8	.
0x4d64	    819721	   0xc8209	.
0x4d68	         4	       0x4	.
0x4d6c	 202379785	 0xc101209	.
0x4d70	   1081866	  0x10820a	.
0x4d74	         1	       0x1	.
0x4d78	   1868299	  0x1c820b	.
0x4d7c	      2448	     0x990	.
0x4d80	   1081870	  0x10820e	.
0x4d84	         1	       0x1	.
0x4d88	     33291	    0x820b	.
0x4d8c	      2484	     0x9b4	.
0x4d90	 336855568	0x14140210	.
0x4d94	   1350154	  0x149a0a	.
0x4d98	        16	      0x10	.
0x4d9c	   1868299	  0x1c820b	.
0x4da0	      2488	     0x9b8	.
0x4da4	   1350158	  0x149a0e	.
0x4da8	        16	      0x10	.
0x4dac	   1081869	  0x10820d	.
0x4db0	        15	       0xf	.
0x4db4	 269228553	0x100c1a09	.
0x4db8	 134250506	 0x800800a	.
0x4dbc	   1606155	  0x18820b	.
0x4dc0	      2568	     0xa08	.
0x4dc4	 202113552	 0xc0c0210	.
0x4dc8	 202379785	 0xc101209	.
0x4dcc	  67928077	 0x40c800d	.
0x4dd0	 202379789	 0xc10120d	.
0x4dd4	  67928077	 0x40c800d	.
0x4dd8	 202117641	 0xc0c1209	.
0x4ddc	    819722	   0xc820a	.
0x4de0	       255	      0xff	.
0x4de4	    295435	   0x4820b	.
0x4de8	      2560	     0xa00	.
0x4dec	 268988425	0x10087009	.
0x4df0	4279009296	0xff0c8010	.
0x4df4	 201850897	 0xc080011	.
0x4df8	     33291	    0x820b	.
0x4dfc	      2564	     0xa04	.
0x4e00	 537427977	0x20088009	.
0x4e04	 135297033	 0x8107809	.
0x4e08	 654344202	0x2700800a	.
0x4e0c	   1606155	  0x18820b	.
0x4e10	      2708	     0xa94	.
0x4e14	    360991	   0x5821f	.
0x4e18	      1304	     0x518	.
0x4e1c	    819721	   0xc8209	.
0x4e20	         8	       0x8	.
0x4e24	    825866	   0xc9a0a	.
0x4e28	       240	      0xf0	.
0x4e2c	   2392587	  0x24820b	.
0x4e30	      2624	     0xa40	.
0x4e34	4279015440	0xff0c9810	.
0x4e38	    295435	   0x4820b	.
0x4e3c	      2708	     0xa94	.
0x4e40	    819721	   0xc8209	.
0x4e44	         4	       0x4	.
0x4e48	 202379785	 0xc101209	.
0x4e4c	   1081866	  0x10820a	.
0x4e50	       399	     0x18f	.
0x4e54	   2654731	  0x28820b	.
0x4e58	      2668	     0xa6c	.
0x4e5c	   1081869	  0x10820d	.
0x4e60	         1	       0x1	.
0x4e64	     33291	    0x820b	.
0x4e68	      2704	     0xa90	.
0x4e6c	 336855568	0x14140210	.
0x4e70	   1350154	  0x149a0a	.
0x4e74	4294966896	0xfffffe70	.
0x4e78	   2654731	  0x28820b	.
0x4e7c	      2704	     0xa90	.
0x4e80	   1081870	  0x10820e	.
0x4e84	        15	       0xf	.
0x4e88	   1350157	  0x149a0d	.
0x4e8c	        16	      0x10	.
0x4e90	 269228553	0x100c1a09	.
0x4e94	 553680906	0x2100800a	.
0x4e98	   1606155	  0x18820b	.
0x4e9c	      2772	     0xad4	.
0x4ea0	    360991	   0x5821f	.
0x4ea4	      1304	     0x518	.
0x4ea8	 202113552	 0xc0c0210	.
0x4eac	    825866	   0xc9a0a	.
0x4eb0	       384	     0x180	.
0x4eb4	   1868299	  0x1c820b	.
0x4eb8	      2764	     0xacc	.
0x4ebc	    825870	   0xc9a0e	.
0x4ec0	       384	     0x180	.
0x4ec4	     33291	    0x820b	.
0x4ec8	      2772	     0xad4	.
0x4ecc	    825865	   0xc9a09	.
0x4ed0	         0	       0x0	.
0x4ed4	 570458122	0x2200800a	.
0x4ed8	   1606155	  0x18820b	.
0x4edc	      2836	     0xb14	.
0x4ee0	    360991	   0x5821f	.
0x4ee4	      1304	     0x518	.
0x4ee8	 202113552	 0xc0c0210	.
0x4eec	    825866	   0xc9a0a	.
0x4ef0	4294966512	0xfffffcf0	.
0x4ef4	   2654731	  0x28820b	.
0x4ef8	      2828	     0xb0c	.
0x4efc	    825869	   0xc9a0d	.
0x4f00	       384	     0x180	.
0x4f04	     33291	    0x820b	.
0x4f08	      2836	     0xb14	.
0x4f0c	    825865	   0xc9a09	.
0x4f10	4294966896	0xfffffe70	.
0x4f14	        32	      0x20	.
0x4f18	     33311	    0x821f	.
0x4f1c	       776	     0x308	.
0x4f20	    295434	   0x4820a	.
0x4f24	         0	       0x0	.
0x4f28	    295435	   0x4820b	.
0x4f2c	      3116	     0xc2c	.
0x4f30	    819721	   0xc8209	.
0x4f34	         8	       0x8	.
0x4f38	4279015434	0xff0c980a	.
0x4f3c	   1606155	  0x18820b	.
0x4f40	      2984	     0xba8	.
0x4f44	    360991	   0x5821f	.
0x4f48	      1304	     0x518	.
0x4f4c	    360991	   0x5821f	.
0x4f50	       228	      0xe4	.
0x4f54	 202113552	 0xc0c0210	.
0x4f58	 202379785	 0xc101209	.
0x4f5c	  67928077	 0x40c800d	.
0x4f60	 202379789	 0xc10120d	.
0x4f64	  68188169	 0x4107809	.
0x4f68	   1081866	  0x10820a	.
0x4f6c	4294967295	0xffffffff	.
0x4f70	    295435	   0x4820b	.
0x4f74	      2980	     0xba4	.
0x4f78	    825869	   0xc9a0d	.
0x4f7c	         1	       0x1	.
0x4f80	    825866	   0xc9a0a	.
0x4f84	       400	     0x190	.
0x4f88	   1868299	  0x1c820b	.
0x4f8c	      2980	     0xba4	.
0x4f90	    825870	   0xc9a0e	.
0x4f94	        16	      0x10	.
0x4f98	 202113552	 0xc0c0210	.
0x4f9c	    825869	   0xc9a0d	.
0x4fa0	        16	      0x10	.
0x4fa4	        32	      0x20	.
0x4fa8	 269484560	0x10100210	.
0x4fac	 269750793	0x10141209	.
0x4fb0	  68190217	 0x4108009	.
0x4fb4	 269750797	0x1014120d	.
